date,value,is_from_informe_epi
2020-03-02,1,TRUE
2020-03-03,1,TRUE
2020-03-04,3,TRUE
2020-03-05,4,TRUE
2020-03-06,5,TRUE
2020-03-07,7,TRUE
2020-03-08,10,TRUE
2020-03-09,15,TRUE
2020-03-10,17,TRUE
2020-03-11,23,TRUE
2020-03-12,33,TRUE
2020-03-13,43,TRUE
2020-03-14,61,TRUE
2020-03-15,75,TRUE
2020-03-16,156,TRUE
2020-03-17,201,TRUE
2020-03-18,238,TRUE
2020-03-19,342,TRUE
2020-03-20,434,TRUE
2020-03-21,537,TRUE
2020-03-22,632,TRUE
2020-03-23,746,TRUE
2020-03-24,922,TRUE
2020-03-25,1142,TRUE
2020-03-26,1306,TRUE
2020-03-27,1610,TRUE
2020-03-28,1909,TRUE
2020-03-29,2139,TRUE
2020-03-30,2449,TRUE
2020-03-31,2738,TRUE
2020-04-01,3031,TRUE
2020-04-02,3404,TRUE
2020-04-03,3737,TRUE
2020-04-04,4161,TRUE
2020-04-05,4471,TRUE
2020-04-06,4815,TRUE
2020-04-07,5116,TRUE
2020-04-08,5546,TRUE
2020-04-09,5972,TRUE
2020-04-10,6501,TRUE
2020-04-11,6927,TRUE
2020-04-12,7213,TRUE
2020-04-13,7525,TRUE
2020-04-14,7917,TRUE
2020-04-15,8273,TRUE
2020-04-16,8807,TRUE
2020-04-17,9252,TRUE
2020-04-18,9730,TRUE
2020-04-19,10088,TRUE
2020-04-20,10507,TRUE
2020-04-21,10832,TRUE
2020-04-22,11296,TRUE
2020-04-23,11812,TRUE
2020-04-24,12306,TRUE
2020-04-25,12858,TRUE
2020-04-26,13331,TRUE
2020-04-27,13813,TRUE
2020-04-28,14365,TRUE
2020-04-29,15135,TRUE
2020-04-30,16023,TRUE
2020-05-01,17008,TRUE
2020-05-02,18435,TRUE
2020-05-03,19663,TRUE
2020-05-04,20643,TRUE
2020-05-05,22016,TRUE
2020-05-06,23048,TRUE
2020-05-07,24581,TRUE
2020-05-08,25972,TRUE
2020-05-09,27219,TRUE
2020-05-10,28866,TRUE
2020-05-11,30063,TRUE
2020-05-12,31721,TRUE
2020-05-13,34381,TRUE
2020-05-14,37040,TRUE
2020-05-15,39542,TRUE
2020-05-16,41428,TRUE
2020-05-17,43781,TRUE
2020-05-18,46059,TRUE
2020-05-19,49579,TRUE
2020-05-20,53617,TRUE
2020-05-21,57581,TRUE
2020-05-22,61857,TRUE
2020-05-23,65393,TRUE
2020-05-24,69102,TRUE
2020-05-25,73997,TRUE
2020-05-26,77961,TRUE
2020-05-27,82289,TRUE
2020-05-28,86943,TRUE
2020-05-29,90638,TRUE
2020-05-30,94858,TRUE
2020-05-31,99688,TRUE
2020-06-01,105159,TRUE
2020-06-02,108686,TRUE
2020-06-03,113628,TRUE
2020-06-04,118292,TRUE
2020-06-05,122499,TRUE
2020-06-06,127745,TRUE
2020-06-07,134150,TRUE
2020-06-08,138846,TRUE
2020-06-09,142759,TRUE
2020-06-10,148496,TRUE
2020-06-11,154092,TRUE
2020-06-12,160846,TRUE
2020-06-13,167355,TRUE
2020-06-14,174293,TRUE
2020-06-15,179436,TRUE
2020-06-16,184449,TRUE
2020-06-17,220628,TRUE
2020-06-18,225103,TRUE
2020-06-19,231393,TRUE
2020-06-20,236748,TRUE
2020-06-21,242355,TRUE
2020-06-22,246963,TRUE
2020-06-23,250767,TRUE
2020-06-24,254416,TRUE
2020-06-25,259064,TRUE
2020-06-26,263360,TRUE
2020-06-27,267766,TRUE
2020-06-28,271982,TRUE
2020-06-29,275999,TRUE
2020-06-30,279393,TRUE
2020-07-01,282043,TRUE
2020-07-02,284541,TRUE
2020-07-03,288089,TRUE
2020-07-04,291847,TRUE
2020-07-05,295532,TRUE
2020-07-06,298557,TRUE
2020-07-07,301019,TRUE
2020-07-08,303083,TRUE
2020-07-09,306216,TRUE
2020-07-10,309274,TRUE
2020-07-11,312029,TRUE
2020-07-12,315041,TRUE
2020-07-13,317657,TRUE
2020-07-14,319493,TRUE
2020-07-15,321205,TRUE
2020-07-16,323698,TRUE
2020-07-17,326539,TRUE
2020-07-18,328846,TRUE
2020-07-19,330930,TRUE
2020-07-20,333029,TRUE
2020-07-21,334683,TRUE
